transaction_id,purchasing_time,customer_id,product_id,price_per_unit,unit,destination_district,destination_province,postal_code
trans_53,2022-10-29 20:00,52,sun-02,25.00,1,จตุจักร,กรุงเทพมหานคร,10900
trans_54,2022-10-02 04:54,53,mmk-15,20.00,1,หาดใหญ่,สงขลา,90110
trans_54,2022-10-02 04:54,53,sun-06,89.00,1,หาดใหญ่,สงขลา,90110
trans_55,2022-10-05 23:59,54,fer-01,40.00,1,เมืองระยอง,ระยอง,21000
trans_55,2022-10-05 23:59,54,sun-02,25.00,1,เมืองระยอง,ระยอง,21000
trans_55,2022-10-05 23:59,54,pot-bella-2212g,89.00,2,เมืองระยอง,ระยอง,21000
trans_56,2022-10-02 18:31,55,plu-01-04,35.00,1,เมืองเชียงใหม่,เชียงใหม่,50200
trans_56,2022-10-02 18:31,55,plu-03-04,35.00,2,เมืองเชียงใหม่,เชียงใหม่,50200
trans_56,2022-10-02 18:31,55,mmk-02,20.00,1,เมืองเชียงใหม่,เชียงใหม่,50200
trans_57,2022-10-03 00:58,56,fer-01,40.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_57,2022-10-03 00:58,56,fer-02,40.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_57,2022-10-03 00:58,56,sun-04,35.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_58,2022-10-02 15:24,57,fer-01,40.00,1,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_58,2022-10-02 15:24,57,sun-02,25.00,2,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_58,2022-10-02 15:24,57,fer-03-02,89.00,1,ห้วยขวาง,กรุงเทพมหานคร,10310
trans_59,2022-10-02 13:42,58,dec-pot-01,29.00,4,เมืองเชียงใหม่,เชียงใหม่,50000
trans_59,2022-10-02 13:42,58,til-04,20.00,5,เมืองเชียงใหม่,เชียงใหม่,50000
trans_59,2022-10-02 13:42,58,til-02,5.00,5,เมืองเชียงใหม่,เชียงใหม่,50000
trans_60,2022-10-01 02:11,59,air-01,69.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,mmk-02,20.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,mmk-04,20.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_60,2022-10-01 02:11,59,air-02-04,49.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_61,2022-10-04 07:11,60,til-01,5.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,til-02,5.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,pot-bella-2212b,89.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_61,2022-10-04 07:11,60,sun-04,35.00,1,เมืองเชียงใหม่,เชียงใหม่,50300
trans_62,2022-10-02 11:18,61,phi-03-06,150.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,phi-02-06,50.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,plu-15-04,39.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,plu-01-04,35.00,1,เมืองสงขลา,สงขลา,90000
trans_62,2022-10-02 11:18,61,plu-07-04,35.00,1,เมืองสงขลา,สงขลา,90000
trans_63,2022-10-01 16:04,62,han-dap-02-01,19.00,5,ดินแดง,กรุงเทพมหานคร,10400
trans_63,2022-10-01 16:04,62,han-spa-10,16.00,3,ดินแดง,กรุงเทพมหานคร,10400
trans_63,2022-10-01 16:04,62,sun-02,25.00,1,ดินแดง,กรุงเทพมหานคร,10400
trans_63,2022-10-01 16:04,62,sun-05,50.00,1,ดินแดง,กรุงเทพมหานคร,10400
trans_64,2022-10-02 15:00,63,til-02,4.00,8,เมืองลพบุรี,ลพบุรี,15210
trans_64,2022-10-02 15:00,63,til-01,4.00,8,เมืองลพบุรี,ลพบุรี,15210
trans_65,2022-10-04 12:57,64,han-pep-04,35.00,1,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,sun-07,35.00,4,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,plu-05-04,35.00,1,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,mmk-01,16.50,2,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,mmk-07,18.00,1,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,mmk-09,16.00,1,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,mmk-12,16.50,2,สาทร,กรุงเทพมหานคร,10120
trans_65,2022-10-04 12:57,64,air-03-02,175.00,1,สาทร,กรุงเทพมหานคร,10120
trans_66,2022-10-06 04:48,65,til-02,5.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,til-01,5.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-10,20.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-06,16.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-07,16.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-12,16.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-11,16.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,mmk-08,16.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_66,2022-10-06 04:48,65,sun-04,35.00,1,วังทองหลาง,กรุงเทพมหานคร,10310
trans_67,2022-10-28 17:21,66,fer-01,40.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,sun-03-06,150.00,2,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-10,20.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-07,16.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-12,16.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-15,16.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-08,16.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,mmk-14,16.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_67,2022-10-28 17:21,66,sun-04,35.00,2,บางเขน,กรุงเทพมหานคร,10220
trans_68,2022-10-02 14:32,67,sun-01,30.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,sun-02,25.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-01,20.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-04,16.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-06,16.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-07,16.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-12,16.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,mmk-13,16.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_68,2022-10-02 14:32,67,air-01-02,85.00,1,บางกะปิ,กรุงเทพมหานคร,10240
trans_69,2022-10-13 15:12,68,agl-sup-01-06,115.00,1,เมืองนนทบุรี,นนทบุรี,11000
trans_70,2022-10-09 11:30,69,agl-sup-01-06,115.00,1,คลองหลวง,ปทุมธานี,12120
trans_71,2022-10-28 21:33,70,agl-sup-02-03,60.00,1,เมืองยะลา,ยะลา,95000
trans_72,2022-10-06 13:44,71,agl-sup-02-03,60.00,1,ดอนเมือง,กรุงเทพมหานคร,10210
trans_73,2022-10-29 08:38,72,agl-sup-02-06,115.00,1,บางขุนเทียน,กรุงเทพมหานคร,10150
trans_74,2022-10-29 13:51,73,agl-sup-02-06,115.00,2,เมืองปทุมธานี,ปทุมธานี,12000
trans_75,2022-10-30 01:06,74,air-01,69.00,6,ลำลูกกา,ปทุมธานี,12130
trans_76,2022-10-01 13:44,75,air-01,69.00,1,หลังสวน,ชุมพร,86110
trans_77,2022-10-20 08:03,76,air-02-04,49.00,1,ท่าศาลา,นครศรีธรรมราช,80160
trans_78,2022-10-29 13:46,77,air-03-01,59.00,1,เขาพนม,กระบี่,81140
trans_79,2022-10-19 21:53,78,bon-01,120.00,1,จตุรพักตรพิมาน,ร้อยเอ็ด,45180
trans_80,2022-10-31 09:45,79,bon-01,120.00,1,ดอกคำใต้,พะเยา,56120
trans_81,2022-10-07 10:09,80,bon-01,120.00,1,ราชเทวี,กรุงเทพมหานคร,10400
trans_82,2022-10-05 09:58,81,bon-02,80.00,1,คลองสามวา,กรุงเทพมหานคร,10510
trans_83,2022-10-03 20:02,82,bon-03,80.00,1,บางเขน,กรุงเทพมหานคร,10220
trans_84,2022-10-03 10:45,83,fer-03-01,89.00,1,เมืองนนทบุรี,นนทบุรี,11000
trans_85,2022-10-03 07:30,84,fer-03-02,89.00,1,เมืองลำปาง,ลำปาง,52000
trans_86,2022-10-04 12:06,85,han-rhi-04-02,45.00,1,ลาดพร้าว,กรุงเทพมหานคร,10230
trans_87,2022-10-03 07:01,86,mmk-02,20.00,1,เมืองสมุทรปราการ,สมุทรปราการ,10270
trans_88,2022-10-06 13:52,87,mmk-07,20.00,1,คลองหลวง,ปทุมธานี,12120
trans_89,2022-10-06 11:45,88,phi-02-06,50.00,16,บ้านดุง,อุดรธานี,41190
trans_90,2022-10-16 22:26,89,phi-02-08,90.00,2,ลาดกระบัง,กรุงเทพมหานคร,10520
trans_91,2022-10-06 13:55,90,phi-02-08,90.00,2,ท่าแซะ,ชุมพร,86140
trans_92,2022-10-03 10:49,91,phi-xa-06,99.00,1,คลองสาน,กรุงเทพมหานคร,10600
trans_93,2022-10-13 21:13,92,phi-xa-11,250.00,1,บางขุนเทียน,กรุงเทพมหานคร,10150
trans_94,2022-10-05 07:37,93,phi-xa-11,250.00,2,กมลาไสย,กาฬสินธุ์,46130
trans_95,2022-10-03 05:51,94,plu-15-04,39.00,1,ท่าเรือ,พระนครศรีอยุธยา,13130
trans_96,2022-10-03 10:18,95,plu-15-04,39.00,1,เมืองลพบุรี,ลพบุรี,15000
trans_97,2022-10-29 12:49,96,pot-bella-2211b,42.00,2,จตุจักร,กรุงเทพมหานคร,10900
trans_98,2022-10-30 02:00,97,pot-bella-2211w,42.00,2,บางแค,กรุงเทพมหานคร,10160
trans_99,2022-10-10 00:08,98,pot-bella-2211w,42.00,1,บึงกุ่ม,กรุงเทพมหานคร,10230
trans_100,2022-10-16 18:26,99,pot-bella-2211w,42.00,1,บางปลาม้า,สุพรรณบุรี,72150
trans_101,2022-10-01 16:06,100,pot-bella-2211w,42.00,1,หาดใหญ่,สงขลา,90110
trans_102,2022-10-02 16:18,101,pot-bella-2211w,42.00,1,แก่งคอย,สระบุรี,18110
trans_103,2022-10-02 21:52,102,pot-bella-2211w,42.00,1,คลองหลวง,ปทุมธานี,12120
trans_104,2022-10-03 16:51,103,pot-bella-2211w,42.00,5,บ้านไร่,อุทัยธานี,61140
trans_105,2022-10-03 21:46,104,pot-bella-2211w,42.00,1,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,84000
trans_106,2022-10-06 11:58,100,pot-bella-2211w,42.00,1,หาดใหญ่,สงขลา,90110
trans_107,2022-10-02 21:49,105,pot-bella-2212b,89.00,1,สวนหลวง,กรุงเทพมหานคร,10250
trans_108,2022-10-10 11:44,106,pot-bella-2212w,89.00,2,เมืองอุดรธานี,อุดรธานี,41000
trans_109,2022-10-10 23:48,107,pot-bella-2212w,89.00,1,ธนบุรี,กรุงเทพมหานคร,10600
trans_110,2022-10-11 20:29,108,pot-bella-2212w,89.00,1,ราชเทวี,กรุงเทพมหานคร,10400
trans_111,2022-10-13 10:20,109,pot-bella-2212w,89.00,2,พระโขนง,กรุงเทพมหานคร,10260
trans_112,2022-10-18 07:02,110,pot-bella-2213g,189.00,2,เขาย้อย,เพชรบุรี,76140
trans_113,2022-10-04 00:30,111,pot-bella-2213g,189.00,1,บางพลัด,กรุงเทพมหานคร,10700
trans_114,2022-10-10 00:11,112,pot-bella-2213w,189.00,2,ประเวศ,กรุงเทพมหานคร,10250
trans_115,2022-10-11 20:40,113,pot-bella-2213w,189.00,1,ตลิ่งชัน,กรุงเทพมหานคร,10170
trans_116,2022-10-12 10:55,114,pot-bella-2213w,189.00,2,บางปะกง,ฉะเชิงเทรา,24130
trans_117,2022-10-29 13:57,115,pot-bella-2213w,189.00,2,เมืองจันทบุรี,จันทบุรี,22000
trans_118,2022-10-02 21:50,116,pot-bella-2213w,189.00,1,บางปะอิน,พระนครศรีอยุธยา,13160
trans_119,2022-10-15 17:55,117,pot-bella-9975w,500.00,1,เมืองภูเก็ต,ภูเก็ต,83000
trans_120,2022-10-03 10:43,118,pot-bella-9975w,500.00,1,เมืองสระบุรี,สระบุรี,18000
trans_121,2022-10-18 22:16,119,pot-bella-9976w,720.00,1,มีนบุรี,กรุงเทพมหานคร,10510
trans_122,2022-10-15 22:11,120,pot-bella-9977b,825.00,1,บางบัวทอง,นนทบุรี,11110
trans_123,2022-10-10 12:43,121,han-spa-10,16.00,7,เสาไห้,สระบุรี,18160
trans_124,2022-10-13 22:29,122,sun-01,30.00,1,โคกสำโรง,ลพบุรี,15120
trans_125,2022-10-13 15:59,123,sun-02,25.00,1,ทวีวัฒนา,กรุงเทพมหานคร,10170
trans_126,2022-10-13 18:46,124,sun-02,25.00,1,หนองสูง,มุกดาหาร,49160
trans_127,2022-10-14 18:15,125,sun-02,25.00,2,บางบ่อ,สมุทรปราการ,10560
trans_128,2022-10-14 19:56,126,sun-02,25.00,5,คลองเตย,กรุงเทพมหานคร,10110
trans_129,2022-10-17 07:04,127,sun-02,25.00,2,พนมสารคาม,ฉะเชิงเทรา,24120
trans_130,2022-10-29 15:01,128,sun-02,20.00,11,พนัสนิคม,ชลบุรี,20140
trans_131,2022-10-03 10:19,100,sun-02,20.00,12,หาดใหญ่,สงขลา,90110
trans_132,2022-10-29 21:08,017,sun-03-06,150.00,1,ละงู,สตูล,91110
trans_133,2022-10-03 15:05,030,sun-05,50.00,2,หนองจอก,กรุงเทพมหานคร,10530
trans_134,2022-10-05 23:26,001,air-01,69,1,บางกอกน้อย,กรุงเทพมหานคร,10700
trans_134,2022-10-05 23:26,001,air-03-02,199,1,บางกอกน้อย,กรุงเทพมหานคร,10700